Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Vernon Davis (WAS, TE)",159.6,10.6,125.2,1.0,9.9,6.4,1.6,10.6,6.5,2.4,9.2,6.2,0.9
"Antonio Gates (SD, TE)",156.5,10.4,120.3,1.0,9.7,6.2,1.4,8.4,4.4,0.2,10.7,7.8,2.4
"Brent Celek (PHI, TE)",135.5,9.0,90.2,1.0,8.3,4.8,0.0,8.2,4.1,0.0,8.3,5.3,0.0
"Jason Witten (DAL, TE)",101.4,6.8,50.5,1.0,6.0,2.5,-2.3,5.1,1.0,-3.1,6.8,3.8,-1.5
"Greg Olsen (CAR, TE)",93.8,6.3,43.2,1.0,5.5,2.0,-2.8,4.9,0.8,-3.3,6.0,3.0,-2.3
"Benjamin Watson (BAL, TE)",67.2,5.6,27.7,0.8,4.8,1.3,-3.4,7.0,2.9,-1.3,2.7,-0.3,-5.6
"Marcedes Lewis (JAC, TE)",63.8,4.3,20.0,1.0,3.5,0.0,-4.8,4.1,0.0,-4.1,3.0,0.0,-5.3
"Anthony Fasano (MIA, TE)",37.8,2.9,8.1,0.9,2.1,-1.3,-6.1,0.9,-3.2,-7.3,3.6,0.7,-4.7
"Delanie Walker (TEN, TE)",22.1,1.5,2.4,1.0,0.7,-2.8,-7.6,0.2,-3.9,-8.0,1.2,-1.8,-7.1
"Martellus Bennett (GB, TE)",15.9,1.3,1.6,0.8,0.6,-2.9,-7.7,0.5,-3.5,-7.7,0.6,-2.4,-7.7
"Zach Miller (CHI, TE)",14.6,1.2,1.3,0.8,0.4,-3.0,-7.8,-0.1,-4.2,-8.3,0.8,-2.1,-7.5
"Jared Cook (OAK, TE)",7.4,0.9,0.5,0.5,0.2,-3.3,-8.1,0.1,-4.0,-8.1,0.3,-2.7,-8.0
"John Phillips (NO, TE)",4.8,0.6,0.2,0.5,-0.2,-3.7,-8.4,-0.7,-4.8,-9.0,0.2,-2.8,-8.1
"David Johnson (PIT, TE)",0.9,0.2,0.0,0.3,-0.6,-4.1,-8.9,-0.5,-4.6,-8.8,-0.6,-3.6,-8.9
