Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Jimmy Graham (SEA, TE)",204.4,13.6,86.8,1.0,6.7,7.1,5.7,9.1,9.0,7.3,4.7,5.4,2.9
"Julius Thomas (MIA, TE)",147.2,11.3,52.0,0.9,4.4,4.8,3.3,4.9,4.8,3.1,3.9,4.5,2.1
"Vernon Davis (WAS, TE)",150.5,10.8,50.4,0.9,3.8,4.2,2.8,6.7,6.5,4.9,1.2,1.8,-0.7
"Rob Gronkowski (NE, TE)",83.2,11.9,30.8,0.5,5.0,5.3,3.9,0.3,0.2,-1.5,6.9,7.5,5.1
"Jason Witten (DAL, TE)",119.6,8.0,29.7,1.0,1.1,1.4,0.0,0.6,0.4,-1.2,1.8,2.5,0.0
"Greg Olsen (CAR, TE)",107.4,7.2,24.0,1.0,0.3,0.6,-0.8,0.1,0.0,-1.7,0.5,1.1,-1.3
"Charles Clay (BUF, TE)",106.9,7.1,23.7,1.0,0.2,0.6,-0.8,1.6,1.5,-0.2,-0.9,-0.2,-2.7
"Martellus Bennett (GB, TE)",102.4,6.8,21.8,1.0,-0.1,0.3,-1.1,1.8,1.7,0.0,-1.6,-1.0,-3.4
"Antonio Gates (SD, TE)",98.1,6.5,20.0,1.0,-0.4,0.0,-1.4,1.8,1.7,0.0,-2.1,-1.5,-4.0
"Delanie Walker (TEN, TE)",90.2,6.4,18.1,0.9,-0.5,-0.1,-1.5,-0.8,-0.9,-2.6,-0.0,0.6,-1.8
"Jordan Reed (WAS, TE)",69.7,7.7,16.8,0.6,0.8,1.2,-0.2,1.8,1.6,-0.0,-0.6,0.0,-2.5
"Jared Cook (OAK, TE)",86.1,5.7,15.4,1.0,-1.2,-0.8,-2.2,-0.8,-0.9,-2.6,-1.4,-0.8,-3.2
"Coby Fleener (NO, TE)",82.3,5.5,14.1,1.0,-1.4,-1.1,-2.5,-0.8,-0.9,-2.6,-1.8,-1.2,-3.7
"Brent Celek (PHI, TE)",71.1,4.7,10.5,1.0,-2.2,-1.8,-3.2,-2.5,-2.7,-4.3,-1.5,-0.9,-3.4
"Zach Ertz (PHI, TE)",66.6,4.8,9.9,0.9,-2.1,-1.8,-3.2,-4.2,-4.3,-6.0,0.8,1.5,-1.0
"Jeff Cumberland (SD, TE)",60.8,5.1,9.6,0.8,-1.8,-1.5,-2.9,-1.5,-1.6,-3.3,-2.1,-1.5,-4.0
"Kyle Rudolph (MIN, TE)",49.3,6.2,9.5,0.5,-0.7,-0.4,-1.8,-1.0,-1.2,-2.8,2.6,3.2,0.7
"Jermaine Gresham (ARI, TE)",64.1,4.6,9.1,0.9,-2.3,-2.0,-3.4,-2.6,-2.8,-4.4,-1.7,-1.1,-3.5
"Mychal Rivera (JAC, TE)",62.4,4.2,8.1,1.0,-2.7,-2.4,-3.8,-3.9,-4.0,-5.7,-1.6,-1.0,-3.4
"Tyler Eifert (CIN, TE)",56.5,3.8,6.6,1.0,-3.1,-2.8,-4.2,-2.3,-2.4,-4.1,-3.9,-3.3,-5.7
